,state,city,name,avg_score,price,reviews_url,stars,hotel_id
4182,California,Mission Viejo,Hyatt House Irvine/John Wayne Airport,88.0,363.318,https://www.booking.com/hotel/us/hyatt-house-irvine-john-wayne-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=107&sr_order=popularity&srpvid=710511f6a62d0117&srepoch=1702089211&all_sr_blocks=214200120_96746397_2_1_0&highlighted_blocks=214200120_96746397_2_1_0&matching_block_id=214200120_96746397_2_1_0&sr_pri_blocks=214200120_96746397_2_1_0__99792&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,11042
3398,California,San Francisco,Hyatt Regency San Francisco,87.0,806.063,https://www.booking.com/hotel/us/hyatt-regency-san-francisco.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=fe4311748a8a007b&srepoch=1702088940&all_sr_blocks=18223013_285711799_2_2_0&highlighted_blocks=18223013_285711799_2_2_0&matching_block_id=18223013_285711799_2_2_0&sr_pri_blocks=18223013_285711799_2_2_0__221400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,12695
4006,California,San Jose,Hyatt Place San Jose Pinares,87.0,262.134,https://www.booking.com/hotel/cr/hyatt-place-san-jose-pinares.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=a6c111d813d00005&srepoch=1702089141&all_sr_blocks=50036408_287854614_2_41_0&highlighted_blocks=50036408_287854614_2_41_0&matching_block_id=50036408_287854614_2_41_0&sr_pri_blocks=50036408_287854614_2_41_0__72000&from=searchresults#hotelTmpl,3.0,13042
3564,California,San Diego,Manchester Grand Hyatt San Diego,86.0,620.385,https://www.booking.com/hotel/us/manchester-grand-hyatt-san-diego.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=931e118f6838006c&srepoch=1702088993&all_sr_blocks=24679513_270157218_2_2_0&highlighted_blocks=24679513_270157218_2_2_0&matching_block_id=24679513_270157218_2_2_0&sr_pri_blocks=24679513_270157218_2_2_0__170400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,13769
3500,California,San Francisco,Hyatt Regency San Francisco Downtown SOMA,86.0,1020.14,https://www.booking.com/hotel/us/hyatt-regency-san-francisco-downtown-soma.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=139&sr_order=popularity&srpvid=9936117b70bd003e&srepoch=1702088968&all_sr_blocks=5847654_327153853_2_2_0&highlighted_blocks=5847654_327153853_2_2_0&matching_block_id=5847654_327153853_2_2_0&sr_pri_blocks=5847654_327153853_2_2_0__280200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,13779
3442,California,San Francisco,Hyatt Place San Francisco/Downtown,85.0,631.307,https://www.booking.com/hotel/us/hyatt-place-san-francisco-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=9936117b70bd003e&srepoch=1702088954&all_sr_blocks=418409308_173186336_2_1_0&highlighted_blocks=418409308_173186336_2_1_0&matching_block_id=418409308_173186336_2_1_0&sr_pri_blocks=418409308_173186336_2_1_0__173400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,15065
3214,California,Los Angeles,"Thompson Hollywood, part of Hyatt",85.0,657.302,https://www.booking.com/hotel/us/thompson-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=277&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088864&all_sr_blocks=704811909_310961672_2_2_0&highlighted_blocks=704811909_310961672_2_2_0&matching_block_id=704811909_310961672_2_2_0&sr_pri_blocks=704811909_310961672_2_2_0__180540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,15109
3574,California,San Diego,Hyatt Regency La Jolla at Aventine,84.0,443.444,https://www.booking.com/hotel/us/hyatt-regency-la-jolla.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=931e118f6838006c&srepoch=1702088993&all_sr_blocks=70169014_263117017_2_2_0&highlighted_blocks=70169014_263117017_2_2_0&matching_block_id=70169014_263117017_2_2_0&sr_pri_blocks=70169014_263117017_2_2_0__121800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,16175
3390,California,San Francisco,"Hotel Kabuki, part of JdV by Hyatt",84.0,544.588,https://www.booking.com/hotel/us/miyako.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=fe4311748a8a007b&srepoch=1702088940&all_sr_blocks=5617943_91458624_2_2_0&highlighted_blocks=5617943_91458624_2_2_0&matching_block_id=5617943_91458624_2_2_0&sr_pri_blocks=5617943_91458624_2_2_0__149581&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,16182
3400,California,San Francisco,Grand Hyatt San Francisco Union Square,84.0,563.589,https://www.booking.com/hotel/us/grand-hyatt-san-francisco.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=fe4311748a8a007b&srepoch=1702088940&all_sr_blocks=17306419_244542676_2_2_0&highlighted_blocks=17306419_244542676_2_2_0&matching_block_id=17306419_244542676_2_2_0&sr_pri_blocks=17306419_244542676_2_2_0__154800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,16219
3196,California,Los Angeles,Hyatt House LA - University Medical Center,84.0,568.18,https://www.booking.com/hotel/us/hyatt-house-la-university-medical-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=239&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088858&all_sr_blocks=675126301_275971381_2_1_0&highlighted_blocks=675126301_275971381_2_1_0&matching_block_id=675126301_275971381_2_1_0&sr_pri_blocks=675126301_275971381_2_1_0__156061&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,16629
3071,California,Los Angeles,Andaz West Hollywood-a concept by Hyatt,82.0,773.296,https://www.booking.com/hotel/us/andaz-west-hollywood-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088832&all_sr_blocks=42897811_263833697_2_10_0&highlighted_blocks=42897811_263833697_2_10_0&matching_block_id=42897811_263833697_2_10_0&sr_pri_blocks=42897811_263833697_2_10_0__212400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,19311
