,state,city,name,avg_score,price,reviews_url,stars,hotel_id
3137,California,Los Angeles,"Hotel Figueroa, Unbound Collection by Hyatt",82.0,604.547,https://www.booking.com/hotel/us/figueroa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=133&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088846&all_sr_blocks=112086933_331920009_2_0_0&highlighted_blocks=112086933_331920009_2_0_0&matching_block_id=112086933_331920009_2_0_0&sr_pri_blocks=112086933_331920009_2_0_0__166050&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5.0,19323
3150,California,Los Angeles,"Dream Hollywood, Part Of Hyatt",82.0,675.87,https://www.booking.com/hotel/us/dream-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=156&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088849&all_sr_blocks=159992947_373282393_2_0_0&highlighted_blocks=159992947_373282393_2_0_0&matching_block_id=159992947_373282393_2_0_0&sr_pri_blocks=159992947_373282393_2_0_0__185640&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,19347
3151,California,Los Angeles,Hyatt Regency Los Angeles International Airport,82.0,404.277,https://www.booking.com/hotel/us/concourse-los-angeles-airport-hyatt.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=157&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088849&all_sr_blocks=5846529_93701191_2_42_0&highlighted_blocks=5846529_93701191_2_42_0&matching_block_id=5846529_93701191_2_42_0&sr_pri_blocks=5846529_93701191_2_42_0__111042&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,19349
3177,California,Los Angeles,Hyatt Place LAX/Century BLVD,82.0,446.175,https://www.booking.com/hotel/us/hyatt-place-lax-century-blvd.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=205&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088854&all_sr_blocks=662838203_271764008_2_1_0&highlighted_blocks=662838203_271764008_2_1_0&matching_block_id=662838203_271764008_2_1_0&sr_pri_blocks=662838203_271764008_2_1_0__122550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.0,19357
3392,California,San Francisco,Hyatt Centric Fisherman's Wharf San Francisco,81.0,403.691,https://www.booking.com/hotel/us/hyatt-fisherman-s-wharf.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=fe4311748a8a007b&srepoch=1702088940&all_sr_blocks=37440714_91473681_2_34_0&highlighted_blocks=37440714_91473681_2_34_0&matching_block_id=37440714_91473681_2_34_0&sr_pri_blocks=37440714_91473681_2_34_0__110881&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,20601
4086,California,Fresno,Hyatt Place Fresno,81.0,514.81,https://www.booking.com/hotel/us/hyatt-place-fresno.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=eb5811e94cc400dc&srepoch=1702089175&all_sr_blocks=464180701_263833698_3_1_0&highlighted_blocks=464180701_263833698_3_1_0&matching_block_id=464180701_263833698_3_1_0&sr_pri_blocks=464180701_263833698_3_1_0__141402&nad_id=ad4566f0-f41a-4215-b87f-7bcc3ee96a33_0&nad_cpc=0.58&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ijk0eWhzQlJ0OXlkMUJiSDNkZmtEaFhFSHRZUVYweUxiRjV3ZlpPVnlvYU1PaS92cmMzRUU3ZE1FZ1ZEUTZqd21xd1JMMUpFOVV4NEtEbk5iSUhRK29jTWNSSVpVdnNjcFMveU5WR3hhUG1Sekl3U3NVREx2azJOb3h6cFNxMXJieFFMZk8vK0RaV1pnbTVTbW5oekFEMFdmQ1Nldkk4eVdHRTRRZ24xVEcrV0R3cU9jZ1Q5ZHlsY1NsUThaSVR1SHhjOFhFSHdYWks0Znh1N0p2c2Q4UUU0dzZTeWVNUHlLL1ppR0R3dWh2THU5bVhvUlVMT0JsK3NtYWxxelpFYnd3ZjZ5emZYWWtLV0w3cHNNeHRwaTBuU3JzZWZiUlBvenBVVVhuNDAyWmNiYXFWTVpuQjV6VnNLS0l5bG1VM28yNmV3Z3p4Mm9PaDRtUnhCTklpTXZVR2thaUpRbEpOMU9XNVBHbFNSWkNFeEJvVTBka3ovMFpONVFRaUM5MXRwbU5KejI1L040bCt2akUrWGJWWWQ0aElPWXhFeGNrdGo4Q3Fpd0ZmZnhDTkNEWCsvRDFWdVpGS0dWeXk4SEluRjRqaHBNL0lldlpvZkVraXZGUXBBV0NrQnJndjR0VnRHSldsRDBsakV6SmFZcHRyMUZXaGs2WGg3MDh2di8yTnVIcjlRcTFOZGk4TUFvK2lNTEFIb2JNMHptY3AxZDIwaCtYcTEzVEJIYWJCUXlncGFxQTY1QnlHUC9hSzBNNTcyeG5ZR2F0a1pYRndzemQ0Vi9NYURMY1BWWFRTQVBSTWt6d0paQ0pMcVJxU2hiTUNEY25Ma1BuTS9tWUM2MEc3ZzRnVGlvSHNzdUxPUmJZVU8ydWJrdkVnaU1XQndDZ2NwdVFiWXBwbVJDc1BiOVN3UGxvV3ZtMlpzdjZoWlgwZk9lbmZXdWhWRm11a2Y3eXhyNmszNFVvbXg3MG4zWjdmTGNSRjNCMEZGUFB0RDNwR3VVMGl0TFVjVWFJQm1PR2d6ZWpiOWswZDZseUpnclN4SjdoQlBtMHQ5d2VKZFhaV21GcjB1RzZ3NnFXSlgzdjhlK3VlZDV2SVU4MGdIL0tSa0htWHN5ZTZrenptb0puWmdCMGFCNXpkdVF6cFNvcFU5eTBUVEVtSFI4REdPeXlJejZ0RTY1Sk1XVzZDRWF1THFKSmhYeFFtUUZONDVhL1Y5WEtIMjRvcjNlajdiSXAyQnQrRXgxdCt0T2FJL00xcUJWVllIeE92NzlpMFBuT0IyV1AzcFphSkZ4T0dWUlRIaWpTL1hqK3phYmF1Q3hvQzRvaVZwZDluWFBtbzJNdWdRS1B4ZFhqT1RYM05md1ZQU3M1N0YzWGxxRldrbTlUenlxdlA2a2R0MEVQdTJrclZDNnRHbnNRRzJ2WmZLQlNFR0RISmhwUTgweHRpWnlXK3d4TnJyUU55a2x0cldqVEVYTlBtTUFOY01GM2orbmhTYVZDNU9nbDlmbEdONmtJM0c5NGUyeDBiN09KY3grSW0xRWNmRVVsTUdKQ3Zna3U0K1VkSTdpRmV3RVcrUGJwRzArYUQ4dWlXd3pIcUdJUlpyTlp0TjkwOVRVTFkyWWpyZHdxWTRHS2hVVXZmYW56V21lNVNUZEZiNkFRTlpLeDU4dElqUGhiN1NWdHRpVjNZUGFaZm4wbHZRQ3YrM2tPRUFOdnpVNHNiM1dWVnJnbDlLOHNkV3hXbDFoSjFTdzFHb09KdUM4Nk1NTDZNL2F0dEVwUyszaFJQZlpGQlc5T01TNXByVXFCdWVtY3FMUGtUaXExeHBqRFVuT3pnUlJGY2xOWVdrVkdZZ25LWXJONTY1eXl1Q2pKNEJ5NklrTHZtOFFTdGZQWG12bG1GdlpWaEUzT0ZIL1IwRjNBbFhZa1dndloyek1xK0Fscy9DLzNjdWVudW1wVU9JN3FMOXdLNWJpNlE0Y0JKMTZ4cXVnM1E1b1gwMlA3QlZEOHJ1QmMxcWliZkFUeHI5RWMyWXRDRWNMYSt0ZUpPK2VSdmF3aU5BdlNtcTZhYUN4TERReTMyMTUrY0FhOC9FNFVwL0UzRWxCQmcvc1ErVXY2UGJJMUN6UzF1WUdsd01HQmZtcWJBSEczRkVkbFhxYld5UHhWMTB2dXdJOGUranJzRWJiL3BnalRKSFliZ2xKS3BoS2JCNlhudWhiT2IyTEdVb3U1SndTeHdGRFhKMnJtWmJuQkZQTkRtNUw5UWR1ZlJNUTRxcklUbzY0YXBUUXpHbm5WcFRsS2FZRFFHRHY2V0JCZVFKZmpzU2w4KzVua1lIR2tqUTR5Sm1JYkhZTDZLelVIRkZRbytsd3o5ekRRV0xnRjNhSE9HanV3ZVJSRmtzdkorQ1NVYVpuQlZrV1FXbkZydG1ueUtxN2JPZjE1WDBIOVY5OGRkaXdIb0pFclJuT2k4TjN0eEU3ZmczdExPcjRZc0lLMDk5RGhLc2RpNXQwT3ROd203OGdVQWpXUmZyL25jQWIrWC8wMU9KenZrbERtSk5aVkd2cXM0ZGdjKzdtQXN1OWI5bDZwSFhneVQ2dVhsTVpMbjFyOEhpZEFLMGFQeWhwclcxWHd0bHpjUEZTYTI1Y1QrQVp2cFNMY3UvMHpEY0w3Q0V1WFV4b244NnZid3JIWlhBd2wxYmRuL01LUFg2MytPOHc4V05TR29OS1ZiMEZkRjlPOEJJTGtwWTBiNmNWM05HTE5FT2o1ck5EeEhRWkRCNE9EWjdIWkpma1crUmpHUFFia1c0TWpMckZBVWpSZFB0VUlSTWtqRE1XOUt6YVdMdU54bmdVNlhMandyaXdqMUxIVmV4bHdnQ2JQSEE4b3pOelVxanpmam8zZFd2NFF4ZVc3OHVnN29tanZvZEpwZGljazRpOVBEL00yNG94R3dHMFZkdFUraGNkdFZLTDVybXNUb2pmMXpNdURlN0llY3B4YTM5bldhbGhuK093Slhjd0dMUkZuRFJFTjRDTGc5TTRsano2dWFpYk1PTWdHeVg1MjJ5dUNGUTFaNHgzQ0tLaE83WlFCOEhVTTQ2aDFLNGdRTXVuMlFvUmgyQStCYmhuOXFkZEV4eW50MDFYblJwQS9ibmNiNVd2QzNOSEFkODVKS3NrR2M0YzJIRkJRTG5nYVBvSkNzd0Jtd3I1Rm9ZcldsYy9rZlJsS0FaZ2p0MDF0QTNPMEE1TTg4a3RNeDBYMVcyQTVNbjN5ZXBONUtWWjVsTEovODZNaTkzQ3huWVVjdFhiTWsvaXFIZjFOQ0xEYXdWbTIwMXliU2FzYXZhVlZGV2lxdXN6WmsyY0ZVMXduTUw2QWhmZzBhbG1CZENGb3NGMCt2NzZRdWEwUUJuK0VtN08wK1RtNVFrVXNiVGIxZTU3bHFISmQrMTZSQVVGa2NnSjR3R0pOdmFsVzJUWW5HQkxkWDBkUEZhaitVUmZUUEJmSUFLbkNySmRITjBrQUJBYy9NMENTbUZvSVFRRXNwMGhqSG1uSHA5VGYrZnVkZEVaQTN0RVl2OXFIZXlzTzROVlhzU004REliclhrejdXS0VpOVpINk11a3pFRElSRWdwc01TM1Q1OTY3ZnEwWEtjbnEvZW1SUWVQQUNWWm53UUF3cHlxSWo3d05OaWcwdERrUTgxMnc4Rm9JMEowSUM5N0NPWUxvSFN2SlhXZThSTjZnTXpSZGsrQytIZkxOT3FMenRpbkUvaDB5S2puaEZ6cTQvSHROTm9zd3F2b2hXZURrTjI0ekhsblNkSzI2R3NMNE54Uk01QUsxL0NMZ2hTdU0rbkZJM0ZuaGpDQzVRPT0ifQ%3D%3D&from=searchresults#hotelTmpl,3.0,20871
3573,California,San Diego,Hyatt Regency Mission Bay Spa and Marina,80.0,710.169,https://www.booking.com/hotel/us/hyatt-regency-mission-bay-spa-and-marina.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=931e118f6838006c&srepoch=1702088993&all_sr_blocks=18395015_93713543_2_2_0&highlighted_blocks=18395015_93713543_2_2_0&matching_block_id=18395015_93713543_2_2_0&sr_pri_blocks=18395015_93713543_2_2_0__195061&from=searchresults#hotelTmpl,4.0,21637
3934,California,Riverside,Hyatt Place Riverside Downtown,80.0,324.872,https://www.booking.com/hotel/us/hyatt-place-riverside-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dfd711c778a60284&srepoch=1702089106&all_sr_blocks=51931606_106926771_2_1_0&highlighted_blocks=51931606_106926771_2_1_0&matching_block_id=51931606_106926771_2_1_0&sr_pri_blocks=51931606_106926771_2_1_0__89232&from=searchresults#hotelTmpl,3.0,22160
3086,California,Los Angeles,"tommie Hollywood, part of Jdv by Hyatt",80.0,425.204,https://www.booking.com/hotel/us/tommie-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=53&sr_order=popularity&srpvid=9c58113e66f501d3&srepoch=1702088837&all_sr_blocks=762428008_333406640_2_2_0&highlighted_blocks=762428008_333406640_2_2_0&matching_block_id=762428008_333406640_2_2_0&sr_pri_blocks=762428008_333406640_2_2_0__116790&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4.0,23191
